POSTALCODE,COMM_NAME,LONGITUDE,LATITUDE,POINT_X,POINT_Y,FSA,Postal Codes_DBUID,Local Area,Dissemination Block_DBUID,Dissemination Block_DAUID,Dissemination Area_DAUID,Dissemination Area_CSDUID,Economic Regions_ERUID,ERNAME,Census Subdivision_CSDUID,CSDNAME,Census Subdivision_CCSUID,Census Subdivision_ERUID,Census Division_CDUID,Census Division_CDNAME,Census Consolidated Subdivision_CCSUID,CCSNAME,Census Consolidated Subdivision_CDUID,Census Consolidated Subdivision_CDNAME
A0B2G0,JERSEYSIDE,-53.966681,47.256777,1417932.828,5240165.335,A0B,1001075901,Placentia-St. Bride's Area,1001075901,10010759,10010759,1001240,1010,Avalon Peninsula,1001240,Placentia,1001234,1010,1001,Division No.  1,1001234,"Division No.  1, Subd. B",1001,Division No.  1
A0B1W0,FRESHWATER PB,-53.978766,47.252496,1417053.903,5239625.66,A0B,1001075907,Placentia-St. Bride's Area,1001075907,10010759,10010759,1001240,1010,Avalon Peninsula,1001240,Placentia,1001234,1010,1001,Division No.  1,1001234,"Division No.  1, Subd. B",1001,Division No.  1
A0B2Y0,PLACENTIA,-53.974378,47.236804,1417508.895,5237908.866,A0B,1001076105,Placentia-St. Bride's Area,1001076105,10010761,10010761,1001240,1010,Avalon Peninsula,1001240,Placentia,1001234,1010,1001,Division No.  1,1001234,"Division No.  1, Subd. B",1001,Division No.  1
A0B1B0,BELLEVUE,-53.733395,47.629631,1432472.101,5282797.907,A0B,1001070916,Isthmus of Avalon,1001070916,10010709,10010709,1001259,1010,Avalon Peninsula,1001259,"Division No.  1, Subd. A",1001259,1010,1001,Division No.  1,1001259,"Division No.  1, Subd. A",1001,Division No.  1
A0B1T0,FAIR HAVEN,-53.899819,47.534284,1420760.173,5271305.507,A0B,1001071416,Isthmus of Avalon,1001071416,10010714,10010714,1001259,1010,Avalon Peninsula,1001259,"Division No.  1, Subd. A",1001259,1010,1001,Division No.  1,1001259,"Division No.  1, Subd. A",1001,Division No.  1
A0B2J0,LONG HARBOUR,-53.787399,47.442171,1429957.595,5261706.262,A0B,1001075109,Isthmus of Avalon,1001075109,10010751,10010751,1001263,1010,Avalon Peninsula,1001263,Long Harbour-Mount Arlington Heights,1001259,1010,1001,Division No.  1,1001259,"Division No.  1, Subd. A",1001,Division No.  1
A0B2L0,MOUNT ARLINGTON HEIGHTS,-53.866548,47.42752,1424120.121,5259645.525,A0B,1001075109,Isthmus of Avalon,1001075109,10010751,10010751,1001263,1010,Avalon Peninsula,1001263,Long Harbour-Mount Arlington Heights,1001259,1010,1001,Division No.  1,1001259,"Division No.  1, Subd. A",1001,Division No.  1
A0B1A0,ARNOLDS COVE,-53.990034,47.756487,1412227.1,5295464.579,A0B,1001071203,Isthmus of Avalon,1001071203,10010712,10010712,1001270,1010,Avalon Peninsula,1001270,Arnold's Cove,1001259,1010,1001,Division No.  1,1001259,"Division No.  1, Subd. A",1001,Division No.  1
A0B1N0,COME BY CHANCE,-53.981152,47.846156,1412179.51,5305457.54,A0B,1001071104,Isthmus of Avalon,1001071104,10010711,10010711,1001274,1010,Avalon Peninsula,1001274,Come By Chance,1001259,1010,1001,Division No.  1,1001259,"Division No.  1, Subd. A",1001,Division No.  1
A0B3J0,SUNNYSIDE,-53.9236,47.858922,1416373.893,5307182.848,A0B,1001071006,Isthmus of Avalon,1001071006,10010710,10010710,1001277,1010,Avalon Peninsula,1001277,Sunnyside,1001259,1010,1001,Division No.  1,1001259,"Division No.  1, Subd. A",1001,Division No.  1
A0B1K0,CHANCE COVE,-53.821635,47.684238,1425411.311,5288364.577,A0B,1001071501,Isthmus of Avalon,1001071501,10010715,10010715,1001281,1010,Avalon Peninsula,1001281,Chance Cove,1001259,1010,1001,Division No.  1,1001259,"Division No.  1, Subd. A",1001,Division No.  1
A0B2T0,NORMANS COVE,-53.662449,47.559266,1438380.199,5275393.232,A0B,1001071702,Isthmus of Avalon,1001071702,10010717,10010717,1001285,1010,Avalon Peninsula,1001285,Norman's Cove-Long Cove,1001259,1010,1001,Division No.  1,1001259,"Division No.  1, Subd. A",1001,Division No.  1
A0B1L0,CHAPEL ARM,-53.673805,47.520667,1437849.936,5271048.055,A0B,1001071804,Isthmus of Avalon,1001071804,10010718,10010718,1001289,1010,Avalon Peninsula,1001289,Chapel Arm,1001259,1010,1001,Division No.  1,1001259,"Division No.  1, Subd. A",1001,Division No.  1
A0B1R0,SOUTH DILDO,-53.556432,47.517252,1446697.003,5271339.767,A0B,1001069412,Whitbourne Area,1001069412,10010694,10010694,1001293,1010,Avalon Peninsula,1001293,"Division No.  1, Subd. Y",1001293,1010,1001,Division No.  1,1001293,"Division No.  1, Subd. Y",1001,Division No.  1
A0B1C0,BLAKETOWN,-53.54961,47.482858,1447502.61,5267564.664,A0B,1001071904,Whitbourne Area,1001071904,10010719,10010719,1001293,1010,Avalon Peninsula,1001293,"Division No.  1, Subd. Y",1001293,1010,1001,Division No.  1,1001293,"Division No.  1, Subd. Y",1001,Division No.  1
A0B2W0,OLD SHOP,-53.57437,47.535271,1445196.289,5273234.856,A0B,1001071906,Whitbourne Area,1001071906,10010719,10010719,1001293,1010,Avalon Peninsula,1001293,"Division No.  1, Subd. Y",1001293,1010,1001,Division No.  1,1001293,"Division No.  1, Subd. Y",1001,Division No.  1
A0B1V0,FOX HARBOUR PB,-53.64224,47.426555,1441010.485,5260789.33,A0B,1001071916,Whitbourne Area,1001071916,10010719,10010719,1001293,1010,Avalon Peninsula,1001293,"Division No.  1, Subd. Y",1001293,1010,1001,Division No.  1,1001293,"Division No.  1, Subd. Y",1001,Division No.  1
A0B2H0,LITTLE HARBOUR EAST PB,-53.64224,47.426555,1441010.485,5260789.33,A0B,1001071916,Whitbourne Area,1001071916,10010719,10010719,1001293,1010,Avalon Peninsula,1001293,"Division No.  1, Subd. Y",1001293,1010,1001,Division No.  1,1001293,"Division No.  1, Subd. Y",1001,Division No.  1
A0B2P0,NEW HARBOUR TB,-53.64224,47.426555,1441010.485,5260789.33,A0B,1001071916,Whitbourne Area,1001071916,10010719,10010719,1001293,1010,Avalon Peninsula,1001293,"Division No.  1, Subd. Y",1001293,1010,1001,Division No.  1,1001293,"Division No.  1, Subd. Y",1001,Division No.  1
A0B2V0,NORTH HARBOUR SMB,-53.64224,47.426555,1441010.485,5260789.33,A0B,1001071916,Whitbourne Area,1001071916,10010719,10010719,1001293,1010,Avalon Peninsula,1001293,"Division No.  1, Subd. Y",1001293,1010,1001,Division No.  1,1001293,"Division No.  1, Subd. Y",1001,Division No.  1
A0B3A0,ST JOSEPHS SAL,-53.64224,47.426555,1441010.485,5260789.33,A0B,1001071916,Whitbourne Area,1001071916,10010719,10010719,1001293,1010,Avalon Peninsula,1001293,"Division No.  1, Subd. Y",1001293,1010,1001,Division No.  1,1001293,"Division No.  1, Subd. Y",1001,Division No.  1
A0B3E0,SHIP HARBOUR PB,-53.64224,47.426555,1441010.485,5260789.33,A0B,1001071916,Whitbourne Area,1001071916,10010719,10010719,1001293,1010,Avalon Peninsula,1001293,"Division No.  1, Subd. Y",1001293,1010,1001,Division No.  1,1001293,"Division No.  1, Subd. Y",1001,Division No.  1
A0B3H0,SOUTHERN HARBOUR PB,-53.64224,47.426555,1441010.485,5260789.33,A0B,1001071916,Whitbourne Area,1001071916,10010719,10010719,1001293,1010,Avalon Peninsula,1001293,"Division No.  1, Subd. Y",1001293,1010,1001,Division No.  1,1001293,"Division No.  1, Subd. Y",1001,Division No.  1
A0B3K0,WHITBOURNE,-53.532727,47.41855,1449321.194,5260530.135,A0B,1001072109,Whitbourne Area,1001072109,10010721,10010721,1001298,1010,Avalon Peninsula,1001298,Whitbourne,1001293,1010,1001,Division No.  1,1001293,"Division No.  1, Subd. Y",1001,Division No.  1
A0B1J0,CAVENDISH,-53.492773,47.723363,1449702.904,5294567.49,A0B,1001070004,Heart's Delight Area,1001070004,10010700,10010700,1001304,1010,Avalon Peninsula,1001304,"Division No.  1, Subd. E",1001304,1010,1001,Division No.  1,1001304,"Division No.  1, Subd. E",1001,Division No.  1
A0B1X0,GREENS HARBOUR,-53.503545,47.643707,1449582.97,5285670.609,A0B,1001069908,Heart's Delight Area,1001069908,10010699,10010699,1001304,1010,Avalon Peninsula,1001304,"Division No.  1, Subd. E",1001304,1010,1001,Division No.  1,1001304,"Division No.  1, Subd. E",1001,Division No.  1
A0B2C0,HOPEALL,-53.509031,47.616773,1449403.34,5282651.496,A0B,1001069812,Heart's Delight Area,1001069812,10010698,10010698,1001304,1010,Avalon Peninsula,1001304,"Division No.  1, Subd. E",1001304,1010,1001,Division No.  1,1001304,"Division No.  1, Subd. E",1001,Division No.  1
A0B1P0,DILDO,-53.564545,47.567523,1445659.812,5276868.215,A0B,1001069506,Heart's Delight Area,1001069506,10010695,10010695,1001304,1010,Avalon Peninsula,1001304,"Division No.  1, Subd. E",1001304,1010,1001,Division No.  1,1001304,"Division No.  1, Subd. E",1001,Division No.  1
A0B3L0,WHITEWAY,-53.484056,47.686461,1450674.268,5290525.643,A0B,1001070106,Heart's Delight Area,1001070106,10010701,10010701,1001308,1010,Avalon Peninsula,1001308,Whiteway,1001304,1010,1001,Division No.  1,1001304,"Division No.  1, Subd. E",1001,Division No.  1
A0B2A0,HEART'S DELIGHT,-53.466667,47.766666,1451280.81,5299522.376,A0B,1001070201,Heart's Delight Area,1001070201,10010702,10010702,1001312,1010,Avalon Peninsula,1001312,Heart's Delight-Islington,1001304,1010,1001,Division No.  1,1001304,"Division No.  1, Subd. E",1001,Division No.  1
A0B2E0,ISLINGTON,-53.477961,47.761108,1450484.494,5298839.952,A0B,1001070222,Heart's Delight Area,1001070222,10010702,10010702,1001312,1010,Avalon Peninsula,1001312,Heart's Delight-Islington,1001304,1010,1001,Division No.  1,1001304,"Division No.  1, Subd. E",1001,Division No.  1
A0B2B0,HEART'S DESIRE,-53.419133,47.809237,1454462.361,5304522.811,A0B,1001070305,Heart's Delight Area,1001070305,10010703,10010703,1001316,1010,Avalon Peninsula,1001316,Heart's Desire,1001304,1010,1001,Division No.  1,1001304,"Division No.  1, Subd. E",1001,Division No.  1
A0B1H0,BROWNSDALE,-53.123336,48.032832,1474503.525,5331105.41,A0B,1001070612,New Perlican-Winterton Area,1001070612,10010706,10010706,1001321,1010,Avalon Peninsula,1001321,"Division No.  1, Subd. F",1001321,1010,1001,Division No.  1,1001321,"Division No.  1, Subd. F",1001,Division No.  1
A0B2R0,NEW MELBOURNE,-53.15433,48.045824,1472079.072,5332354.961,A0B,1001070621,New Perlican-Winterton Area,1001070621,10010706,10010706,1001321,1010,Avalon Peninsula,1001321,"Division No.  1, Subd. F",1001321,1010,1001,Division No.  1,1001321,"Division No.  1, Subd. F",1001,Division No.  1
A0B2N0,NEW CHELSEA,-53.218125,48.026235,1467512.923,5329792.355,A0B,1001070626,New Perlican-Winterton Area,1001070626,10010706,10010706,1001321,1010,Avalon Peninsula,1001321,"Division No.  1, Subd. F",1001321,1010,1001,Division No.  1,1001321,"Division No.  1, Subd. F",1001,Division No.  1
A0B3P0,TURKS COVE,-53.35,47.933332,1458527.398,5318695.015,A0B,1001070635,New Perlican-Winterton Area,1001070635,10010706,10010706,1001321,1010,Avalon Peninsula,1001321,"Division No.  1, Subd. F",1001321,1010,1001,Division No.  1,1001321,"Division No.  1, Subd. F",1001,Division No.  1
A0B1Z0,HEART'S CONTENT,-53.364216,47.869292,1458034.345,5311508.281,A0B,1001070410,New Perlican-Winterton Area,1001070410,10010704,10010704,1001325,1010,Avalon Peninsula,1001325,Heart's Content,1001321,1010,1001,Division No.  1,1001321,"Division No.  1, Subd. F",1001,Division No.  1
A0B2S0,NEW PERLICAN,-53.359127,47.908278,1458069.078,5315862.032,A0B,1001070505,New Perlican-Winterton Area,1001070505,10010705,10010705,1001328,1010,Avalon Peninsula,1001328,New Perlican,1001321,1010,1001,Division No.  1,1001321,"Division No.  1, Subd. F",1001,Division No.  1
A0B3M0,WINTERTON,-53.330807,47.954107,1459772.891,5321113.559,A0B,1001070701,New Perlican-Winterton Area,1001070701,10010707,10010707,1001332,1010,Avalon Peninsula,1001332,Winterton,1001321,1010,1001,Division No.  1,1001321,"Division No.  1, Subd. F",1001,Division No.  1
A0B1Y0,HANTS HARBOUR,-53.26719,48.015794,1463956.96,5328336.816,A0B,1001070803,New Perlican-Winterton Area,1001070803,10010708,10010708,1001335,1010,Avalon Peninsula,1001335,Hant's Harbour,1001321,1010,1001,Division No.  1,1001321,"Division No.  1, Subd. F",1001,Division No.  1
A0A3B0,NORTHERN BAY,-53.066667,47.95,1479488.114,5322271.583,A0A,1001050019,North Shore of Conception Bay,1001050019,10010500,10010500,1001339,1010,Avalon Peninsula,1001339,"Division No.  1, Subd. G",1001339,1010,1001,Division No.  1,1001339,"Division No.  1, Subd. G",1001,Division No.  1
A0A4J0,WESTERN BAY,-53.083333,47.883333,1478863.591,5314774.774,A0A,1001050313,North Shore of Conception Bay,1001050313,10010503,10010503,1001339,1010,Avalon Peninsula,1001339,"Division No.  1, Subd. G",1001339,1010,1001,Division No.  1,1001339,"Division No.  1, Subd. G",1001,Division No.  1
A0A3E0,OCHRE PIT COVE,-53.067422,47.917724,1479731.444,5318687.666,A0A,1001050323,North Shore of Conception Bay,1001050323,10010503,10010503,1001339,1010,Avalon Peninsula,1001339,"Division No.  1, Subd. G",1001339,1010,1001,Division No.  1,1001339,"Division No.  1, Subd. G",1001,Division No.  1
A0A2W0,LOWER ISLAND COVE,-52.986947,47.994135,1485012.038,5327666.279,A0A,1001049905,North Shore of Conception Bay,1001049905,10010499,10010499,1001339,1010,Avalon Peninsula,1001339,"Division No.  1, Subd. G",1001339,1010,1001,Division No.  1,1001339,"Division No.  1, Subd. G",1001,Division No.  1
A0A2S0,JOBS COVE,-53.016666,47.983333,1482901.027,5326281.071,A0A,1001049914,North Shore of Conception Bay,1001049914,10010499,10010499,1001339,1010,Avalon Peninsula,1001339,"Division No.  1, Subd. G",1001339,1010,1001,Division No.  1,1001339,"Division No.  1, Subd. G",1001,Division No.  1
A0A2L0,GRATES COVE,-52.933332,48.166666,1487440.452,5347091.774,A0A,1001049701,North Shore of Conception Bay,1001049701,10010497,10010497,1001339,1010,Avalon Peninsula,1001339,"Division No.  1, Subd. G",1001339,1010,1001,Division No.  1,1001339,"Division No.  1, Subd. G",1001,Division No.  1
A0A3M0,RED HEAD COVE,-52.899999,48.133333,1490155.169,5343654.422,A0A,1001049725,North Shore of Conception Bay,1001049725,10010497,10010497,1001339,1010,Avalon Peninsula,1001339,"Division No.  1, Subd. G",1001339,1010,1001,Division No.  1,1001339,"Division No.  1, Subd. G",1001,Division No.  1
A0A3G0,OLD PERLICAN,-53.018079,48.077809,1481910.888,5336748.838,A0A,1001049804,North Shore of Conception Bay,1001049804,10010498,10010498,1001343,1010,Avalon Peninsula,1001343,Old Perlican,1001339,1010,1001,Division No.  1,1001339,"Division No.  1, Subd. G",1001,Division No.  1
A0A1E0,BAY DE VERDE,-52.895572,48.085,1490945.808,5338323.175,A0A,1001049609,North Shore of Conception Bay,1001049609,10010496,10010496,1001347,1010,Avalon Peninsula,1001347,Bay de Verde,1001339,1010,1001,Division No.  1,1001339,"Division No.  1, Subd. G",1001,Division No.  1
A1Y1B2,CARBONEAR,-53.229464,47.734862,1469303.055,5297410.675,A1Y,1001051405,Carbonear Area,1001051405,10010514,10010514,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1B3,CARBONEAR,-53.237696,47.72276,1468796.237,5296018.652,A1Y,1001051809,Carbonear Area,1001051809,10010518,10010518,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1A1,CARBONEAR,-53.224705,47.720993,1469784.243,5295901.591,A1Y,1001051810,Carbonear Area,1001051810,10010518,10010518,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1A2,CARBONEAR,-53.224705,47.720993,1469784.243,5295901.591,A1Y,1001051810,Carbonear Area,1001051810,10010518,10010518,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1A3,CARBONEAR,-53.226389,47.73086,1469569.209,5296985.632,A1Y,1001051701,Carbonear Area,1001051701,10010517,10010517,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1A5,CARBONEAR,-53.230922,47.729858,1469239.156,5296846.988,A1Y,1001051702,Carbonear Area,1001051702,10010517,10010517,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1A6,CARBONEAR,-53.239178,47.730249,1468617.925,5296840.056,A1Y,1001051706,Carbonear Area,1001051706,10010517,10010517,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1B4,CARBONEAR,-53.202415,47.741619,1471265.54,5298325.041,A1Y,1001051301,Carbonear Area,1001051301,10010513,10010513,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1B5,CARBONEAR,-53.202415,47.741619,1471265.54,5298325.041,A1Y,1001051301,Carbonear Area,1001051301,10010513,10010513,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1B6,CARBONEAR,-53.202415,47.741619,1471265.54,5298325.041,A1Y,1001051301,Carbonear Area,1001051301,10010513,10010513,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1B7,CARBONEAR,-53.202415,47.741619,1471265.54,5298325.041,A1Y,1001051301,Carbonear Area,1001051301,10010513,10010513,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1B8,CARBONEAR,-53.202415,47.741619,1471265.54,5298325.041,A1Y,1001051301,Carbonear Area,1001051301,10010513,10010513,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1B9,CARBONEAR,-53.202415,47.741619,1471265.54,5298325.041,A1Y,1001051301,Carbonear Area,1001051301,10010513,10010513,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1C1,CARBONEAR,-53.202415,47.741619,1471265.54,5298325.041,A1Y,1001051301,Carbonear Area,1001051301,10010513,10010513,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1C2,CARBONEAR,-53.202415,47.741619,1471265.54,5298325.041,A1Y,1001051301,Carbonear Area,1001051301,10010513,10010513,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1C3,CARBONEAR,-53.202415,47.741619,1471265.54,5298325.041,A1Y,1001051301,Carbonear Area,1001051301,10010513,10010513,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1C4,CARBONEAR,-53.202415,47.741619,1471265.54,5298325.041,A1Y,1001051301,Carbonear Area,1001051301,10010513,10010513,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1C5,CARBONEAR,-53.202415,47.741619,1471265.54,5298325.041,A1Y,1001051301,Carbonear Area,1001051301,10010513,10010513,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1C6,CARBONEAR,-53.202415,47.741619,1471265.54,5298325.041,A1Y,1001051301,Carbonear Area,1001051301,10010513,10010513,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1A4,CARBONEAR,-53.226526,47.729804,1469568.489,5296867.63,A1Y,1001051304,Carbonear Area,1001051304,10010513,10010513,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1B1,CARBONEAR,-53.203124,47.742646,1471203.203,5298434.601,A1Y,1001051201,Carbonear Area,1001051201,10010512,10010512,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1A9,CARBONEAR,-53.212888,47.74257,1470473.534,5298366.459,A1Y,1001051207,Carbonear Area,1001051207,10010512,10010512,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1A8,CARBONEAR,-53.216192,47.745546,1470199.454,5298676.349,A1Y,1001051113,Carbonear Area,1001051113,10010511,10010511,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
A1Y1A7,CARBONEAR,-53.234302,47.734523,1468944.162,5297343.659,A1Y,1001051601,Carbonear Area,1001051601,10010516,10010516,1001370,1010,Avalon Peninsula,1001370,Carbonear,1001357,1010,1001,Division No.  1,1001357,"Division No.  1, Subd. H",1001,Division No.  1
