"POSTALCODE","COMM_NAME","MUNICIPAL","RHA","FSA","CCSUID","CCSNAME","CDUID","CDNAME","CSDUID","CSDNAME","DAUID","ERUID","ERNAME","LOCAL_AREA","Remote_Cla","RemoteIdx","RemoteFuzz","Local_Ar_1","RHA_Pop_13","CD_Pop_11","CSD_Pop_11","ER_Pop_11","FSA_Pop_11","DA_Pop_11"
"A2A2B1","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A2B2","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1K2","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1K3","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1K4","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060106,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A1K5","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060106,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A1C1","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1C2","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1Y1","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060113,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A1Y2","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060113,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A1Y3","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060113,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A1G5","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1G6","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1G7","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1G8","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1X5","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060113,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A1H4","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060113,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A1P3","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060106,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A1P5","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060106,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A1Z5","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1Z6","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1G9","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1H1","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1H3","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1M1","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060113,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A1Y9","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1Z1","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1Z2","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1Z3","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A2B8","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060106,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A2B9","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060106,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,470
"A2A1C3","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1C4","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1C5","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1C6","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A1C7","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A2P7","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A2J1","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A0B9","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A2J8","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A2J9","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A2J3","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A2M4","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A2J4","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A2Y4","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A2K2","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A2K1","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A0B8","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2A2J7","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
"A2B1K2","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2B",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,4950,390
"A2A0C8","GRAND FALLS-WINDSOR","GRAND FALLS-WINDSOR","Central","A2A",1006014,"Division No.  6, Subd. C",1006,"Division No.  6",1006017,"Grand Falls-Windsor",10060107,1040,"Notre Dame--Central Bonavista Bay","Grand Falls-Point Leamington Area","Highly Accessible",0.0989999994636,0.300000011921,24375,93645,37305,13725,109115,8965,390
